,pc,user,won
526,50,46,pc
527,50,24,pc
528,50,49,pc
529,37,50,user
530,50,48,pc
531,50,44,pc
532,50,46,pc
533,38,50,user
534,50,20,pc
535,50,41,pc
536,50,46,pc
537,49,50,user
538,50,18,pc
539,50,39,pc
540,49,50,user
541,50,35,pc
542,50,28,pc
543,50,30,pc
544,50,37,pc
545,50,29,pc
546,50,37,pc
547,37,50,user
548,49,50,user
549,43,50,user
550,50,48,pc
551,50,47,pc
552,50,32,pc
553,50,41,pc
554,35,50,user
555,50,40,pc
556,50,40,pc
557,49,50,user
558,50,46,pc
559,50,13,pc
560,50,23,pc
561,50,34,pc
562,50,33,pc
563,36,50,user
564,50,44,pc
565,50,42,pc
566,50,33,pc
567,50,41,pc
568,43,50,user
569,50,32,pc
570,50,4,pc
571,50,30,pc
572,50,45,pc
573,50,42,pc
574,50,34,pc
575,50,34,pc
576,50,42,pc
577,50,39,pc
578,50,27,pc
579,50,41,pc
580,50,44,pc
581,50,26,pc
582,50,11,pc
583,50,3,pc
584,50,39,pc
585,50,36,pc
586,50,33,pc
587,50,45,pc
588,50,18,pc
589,50,34,pc
590,50,28,pc
591,50,43,pc
592,50,41,pc
593,50,38,pc
594,50,32,pc
595,50,5,pc
596,50,42,pc
597,50,43,pc
598,50,28,pc
599,50,42,pc
600,30,50,user
601,50,44,pc
602,50,36,pc
603,50,28,pc
604,50,47,pc
605,50,34,pc
606,50,44,pc
607,50,35,pc
608,50,44,pc
609,50,43,pc
610,50,42,pc
611,50,27,pc
612,50,48,pc
613,50,47,pc
614,42,50,user
615,50,32,pc
616,50,39,pc
617,50,44,pc
618,50,24,pc
619,38,50,user
620,50,34,pc
621,50,48,pc
622,49,50,user
623,50,36,pc
624,50,38,pc
625,50,42,pc
626,50,46,pc
627,40,50,user
628,50,48,pc
629,43,50,user
630,50,39,pc
631,50,32,pc
632,47,50,user
633,50,40,pc
634,50,45,pc
635,50,26,pc
636,44,50,user
637,50,41,pc
638,50,48,pc
639,42,50,user
640,50,45,pc
641,50,49,pc
642,50,27,pc
643,50,43,pc
644,50,36,pc
645,50,42,pc
646,50,45,pc
647,50,39,pc
648,30,50,user
649,50,38,pc
650,41,50,user
651,30,50,user
652,50,32,pc
653,50,46,pc
654,50,39,pc
655,41,50,user
656,50,45,pc
657,38,50,user
658,50,29,pc
659,44,50,user
660,50,34,pc
661,50,34,pc
662,39,50,user
663,50,37,pc
664,50,39,pc
665,46,50,user
666,50,40,pc
667,50,49,pc
668,41,50,user
669,50,45,pc
670,44,50,user
671,50,45,pc
672,50,17,pc
673,50,30,pc
674,50,36,pc
675,50,34,pc
676,50,30,pc
677,50,47,pc
678,50,43,pc
679,50,47,pc
680,50,42,pc
681,50,41,pc
682,50,26,pc
683,50,49,pc
684,50,36,pc
685,43,50,user
686,50,31,pc
687,50,22,pc
688,50,45,pc
689,50,24,pc
690,50,33,pc
691,50,27,pc
692,50,42,pc
693,50,42,pc
694,50,46,pc
695,41,50,user
696,50,25,pc
697,50,46,pc
698,50,25,pc
699,50,39,pc
700,41,50,user
701,50,29,pc
702,43,50,user
703,50,29,pc
704,50,36,pc
705,44,50,user
706,50,49,pc
707,50,47,pc
708,46,50,user
709,47,50,user
710,50,49,pc
711,50,5,pc
712,50,41,pc
713,50,5,pc
714,49,50,user
715,50,35,pc
716,50,49,pc
717,34,50,user
718,50,43,pc
719,50,29,pc
720,50,41,pc
721,50,39,pc
722,50,39,pc
723,50,6,pc
724,50,5,pc
725,50,49,pc
726,50,34,pc
727,50,45,pc
728,50,44,pc
729,50,21,pc
730,50,44,pc
731,43,50,user
732,50,47,pc
733,50,22,pc
734,50,45,pc
735,50,20,pc
736,50,35,pc
737,50,46,pc
738,50,44,pc
739,46,50,user
740,50,27,pc
741,41,50,user
742,37,50,user
743,50,40,pc
744,50,30,pc
745,50,36,pc
746,50,46,pc
747,47,50,user
748,50,6,pc
749,50,19,pc
750,50,45,pc
751,50,25,pc
752,50,38,pc
753,50,27,pc
754,50,23,pc
755,41,50,user
756,50,47,pc
757,50,38,pc
758,50,39,pc
759,46,50,user
760,50,38,pc
761,50,12,pc
762,50,40,pc
763,46,50,user
764,43,50,user
765,50,35,pc
766,50,49,pc
767,42,50,user
768,50,42,pc
769,50,39,pc
770,50,45,pc
771,50,44,pc
772,50,20,pc
773,41,50,user
774,50,46,pc
775,50,49,pc
776,50,30,pc
777,50,42,pc
778,50,39,pc
779,39,50,user
780,47,50,user
781,50,44,pc
782,45,50,user
783,50,40,pc
784,47,50,user
785,48,50,user
786,50,35,pc
787,50,20,pc
788,50,44,pc
789,50,36,pc
790,50,48,pc
791,50,46,pc
792,50,36,pc
793,50,37,pc
794,48,50,user
795,50,32,pc
796,50,42,pc
797,50,5,pc
798,50,37,pc
799,42,50,user
800,50,23,pc
801,41,50,user
802,48,50,user
803,50,42,pc
804,50,24,pc
805,46,50,user
806,50,37,pc
807,39,50,user
808,40,50,user
809,50,41,pc
810,50,45,pc
811,50,31,pc
812,50,35,pc
813,50,43,pc
814,50,38,pc
815,50,46,pc
816,45,50,user
817,41,50,user
818,50,42,pc
819,37,50,user
820,50,23,pc
821,50,19,pc
822,50,35,pc
823,50,40,pc
824,50,39,pc
825,50,23,pc
826,50,6,pc
827,44,50,user
828,50,45,pc
829,50,38,pc
830,50,41,pc
831,50,23,pc
832,50,30,pc
833,48,50,user
834,50,24,pc
835,50,48,pc
836,50,17,pc
837,50,38,pc
838,50,36,pc
839,50,21,pc
840,50,41,pc
841,50,43,pc
842,50,40,pc
843,43,50,user
844,50,47,pc
845,50,15,pc
846,49,50,user
847,50,21,pc
848,50,27,pc
849,50,37,pc
850,50,43,pc
851,50,41,pc
852,37,50,user
853,50,39,pc
854,50,48,pc
855,50,32,pc
856,42,50,user
857,50,45,pc
858,50,49,pc
859,50,32,pc
860,50,38,pc
861,48,50,user
862,50,31,pc
863,41,50,user
864,50,26,pc
865,50,32,pc
866,38,50,user
867,33,50,user
868,49,50,user
869,50,37,pc
870,50,49,pc
871,50,21,pc
872,50,40,pc
873,50,47,pc
874,50,24,pc
875,50,26,pc
876,50,38,pc
877,50,49,pc
878,50,45,pc
879,50,31,pc
880,50,14,pc
881,50,46,pc
882,50,12,pc
883,50,43,pc
884,50,35,pc
885,50,25,pc
886,50,19,pc
887,50,38,pc
888,50,40,pc
889,50,37,pc
890,42,50,user
891,42,50,user
892,49,50,user
893,47,50,user
894,50,36,pc
895,50,22,pc
896,41,50,user
897,50,35,pc
898,45,50,user
899,50,46,pc
900,50,49,pc
901,50,35,pc
902,50,19,pc
903,50,41,pc
904,47,50,user
905,50,29,pc
906,50,33,pc
907,50,35,pc
908,44,50,user
909,50,33,pc
910,50,40,pc
911,46,50,user
912,50,30,pc
913,50,36,pc
914,50,47,pc
915,35,50,user
916,50,34,pc
917,50,32,pc
918,50,40,pc
919,50,27,pc
920,50,27,pc
921,48,50,user
922,50,2,pc
923,50,31,pc
924,39,50,user
925,42,50,user
926,50,28,pc
927,50,47,pc
928,46,50,user
929,46,50,user
930,41,50,user
931,50,34,pc
932,50,33,pc
933,50,43,pc
934,50,37,pc
935,45,50,user
936,50,39,pc
937,47,50,user
938,50,37,pc
939,50,33,pc
940,41,50,user
941,50,40,pc
942,31,50,user
943,50,46,pc
944,50,48,pc
945,50,49,pc
946,50,23,pc
947,50,32,pc
948,50,25,pc
949,50,34,pc
950,45,50,user
951,50,42,pc
952,50,41,pc
953,50,31,pc
954,50,46,pc
955,50,46,pc
956,50,39,pc
957,45,50,user
958,50,41,pc
959,50,49,pc
960,50,36,pc
961,50,32,pc
962,40,50,user
963,50,48,pc
964,50,39,pc
965,50,29,pc
966,50,35,pc
967,49,50,user
968,50,43,pc
969,50,41,pc
970,50,7,pc
971,41,50,user
972,30,50,user
973,50,42,pc
974,50,10,pc
975,50,29,pc
976,50,44,pc
977,50,32,pc
978,50,30,pc
979,49,50,user
980,50,41,pc
981,50,18,pc
982,50,23,pc
983,50,44,pc
984,50,48,pc
985,50,30,pc
986,50,39,pc
987,50,16,pc
988,50,40,pc
989,50,7,pc
990,41,50,user
991,50,43,pc
992,50,28,pc
993,50,48,pc
994,44,50,user
995,50,36,pc
996,50,17,pc
997,30,50,user
998,50,28,pc
999,50,41,pc
1000,50,40,pc
1001,47,50,user
1002,50,29,pc
1003,50,39,pc
1004,50,32,pc
1005,50,40,pc
1006,50,48,pc
1007,50,38,pc
1008,42,50,user
1009,50,42,pc
1010,38,50,user
1011,50,40,pc
1012,47,50,user
1013,50,45,pc
1014,50,10,pc
1015,50,31,pc
1016,50,44,pc
1017,50,42,pc
1018,50,47,pc
1019,50,32,pc
1020,50,42,pc
1021,50,34,pc
1022,50,38,pc
1023,50,37,pc
1024,45,50,user
1025,50,45,pc
1026,50,27,pc
1027,50,19,pc
1028,50,48,pc
1029,50,32,pc
1030,50,47,pc
1031,49,50,user
1032,36,50,user
1033,50,29,pc
1034,38,50,user
1035,50,34,pc
1036,50,36,pc
1037,50,36,pc
1038,50,48,pc
1039,50,48,pc
1040,50,45,pc
1041,50,38,pc
1042,50,48,pc
1043,46,50,user
1044,41,50,user
1045,49,50,user
1046,46,50,user
1047,50,35,pc
1048,44,50,user
1049,50,43,pc
1050,50,37,pc
1051,50,41,pc
1052,50,36,pc
1053,50,33,pc
1054,50,43,pc
1055,50,7,pc
1056,50,39,pc
1057,50,46,pc
1058,50,37,pc
1059,50,32,pc
1060,50,34,pc
1061,50,46,pc
1062,46,50,user
1063,50,29,pc
1064,50,38,pc
1065,50,7,pc
1066,50,10,pc
1067,42,50,user
1068,50,24,pc
1069,50,15,pc
1070,50,30,pc
1071,50,28,pc
1072,50,26,pc
1073,50,25,pc
1074,46,50,user
1075,50,34,pc
1076,50,47,pc
1077,50,37,pc
1078,50,40,pc
1079,50,17,pc
1080,43,50,user
1081,47,50,user
1082,50,34,pc
1083,50,41,pc
1084,46,50,user
1085,50,45,pc
1086,44,50,user
1087,50,40,pc
1088,50,30,pc
1089,50,23,pc
1090,50,42,pc
1091,50,41,pc
1092,50,29,pc
1093,50,42,pc
1094,35,50,user
1095,50,49,pc
1096,50,35,pc
1097,50,29,pc
1098,50,27,pc
1099,50,47,pc
1100,46,50,user
1101,50,41,pc
1102,50,21,pc
1103,50,39,pc
1104,50,37,pc
1105,50,1,pc
1106,50,47,pc
1107,50,27,pc
1108,34,50,user
1109,43,50,user
1110,50,40,pc
1111,50,44,pc
1112,50,23,pc
1113,50,25,pc
1114,50,25,pc
1115,50,23,pc
1116,50,42,pc
1117,50,39,pc
1118,35,50,user
1119,50,33,pc
1120,47,50,user
1121,50,47,pc
1122,47,50,user
1123,44,50,user
1124,50,44,pc
1125,46,50,user
1126,34,50,user
1127,27,50,user
1128,50,48,pc
1129,50,38,pc
1130,50,23,pc
1131,50,48,pc
1132,50,46,pc
1133,50,23,pc
1134,50,40,pc
1135,50,39,pc
1136,50,37,pc
1137,44,50,user
1138,50,33,pc
1139,50,37,pc
1140,41,50,user
1141,50,31,pc
1142,50,27,pc
1143,50,37,pc
1144,50,33,pc
1145,50,23,pc
1146,50,40,pc
1147,50,46,pc
1148,40,50,user
1149,50,38,pc
1150,50,25,pc
1151,50,47,pc
1152,50,27,pc
1153,50,30,pc
1154,50,30,pc
1155,50,37,pc
1156,50,22,pc
1157,50,7,pc
1158,41,50,user
1159,50,40,pc
1160,33,50,user
1161,50,40,pc
1162,42,50,user
1163,50,20,pc
1164,50,36,pc
1165,50,45,pc
1166,46,50,user
1167,50,37,pc
1168,37,50,user
1169,50,45,pc
1170,50,40,pc
1171,50,47,pc
1172,50,42,pc
1173,50,45,pc
1174,50,18,pc
1175,40,50,user
1176,50,44,pc
1177,50,19,pc
1178,50,22,pc
1179,50,39,pc
1180,50,42,pc
1181,49,50,user
1182,50,32,pc
1183,50,28,pc
1184,50,40,pc
1185,50,29,pc
1186,36,50,user
1187,50,39,pc
1188,50,13,pc
1189,50,43,pc
1190,50,48,pc
1191,41,50,user
1192,50,38,pc
1193,35,50,user
1194,50,41,pc
1195,50,44,pc
1196,50,36,pc
1197,50,40,pc
1198,50,23,pc
1199,50,1,pc
1200,50,41,pc
1201,48,50,user
1202,50,43,pc
1203,50,47,pc
1204,50,25,pc
1205,49,50,user
1206,50,47,pc
1207,48,50,user
1208,36,50,user
1209,50,1,pc
1210,50,39,pc
1211,36,50,user
1212,47,50,user
1213,50,23,pc
1214,50,47,pc
1215,50,46,pc
1216,50,41,pc
1217,41,50,user
1218,50,31,pc
1219,50,34,pc
1220,49,50,user
1221,50,39,pc
1222,45,50,user
1223,49,50,user
1224,50,41,pc
1225,50,41,pc
1226,50,32,pc
1227,50,38,pc
1228,50,28,pc
1229,50,32,pc
1230,50,5,pc
1231,41,50,user
1232,49,50,user
1233,50,38,pc
1234,50,30,pc
1235,50,21,pc
1236,44,50,user
1237,43,50,user
1238,50,49,pc
1239,50,49,pc
1240,50,41,pc
1241,44,50,user
1242,50,30,pc
1243,50,28,pc
1244,45,50,user
1245,50,39,pc
1246,50,42,pc
1247,50,44,pc
1248,50,45,pc
1249,25,50,user
1250,50,42,pc
1251,47,50,user
1252,45,50,user
1253,50,48,pc
1254,50,37,pc
1255,50,38,pc
1256,42,50,user
1257,42,50,user
1258,50,41,pc
1259,46,50,user
1260,50,32,pc
1261,50,44,pc
1262,50,43,pc
1263,34,50,user
1264,50,25,pc
1265,50,27,pc
1266,50,49,pc
1267,42,50,user
1268,50,17,pc
1269,49,50,user
1270,50,30,pc
1271,50,44,pc
1272,50,37,pc
1273,50,45,pc
1274,37,50,user
1275,40,50,user
1276,50,47,pc
1277,47,50,user
1278,50,38,pc
1279,50,34,pc
1280,50,42,pc
1281,50,38,pc
1282,50,37,pc
1283,50,31,pc
1284,50,45,pc
1285,50,32,pc
1286,50,37,pc
1287,49,50,user
1288,37,50,user
1289,46,50,user
1290,50,30,pc
1291,50,37,pc
1292,50,28,pc
1293,45,50,user
1294,50,24,pc
1295,50,33,pc
1296,41,50,user
1297,33,50,user
1298,34,50,user
1299,50,44,pc
1300,50,37,pc
1301,50,30,pc
1302,50,23,pc
1303,50,26,pc
1304,50,31,pc
1305,50,34,pc
1306,50,48,pc
1307,50,45,pc
1308,50,44,pc
1309,50,37,pc
