acceptability_1;confidence_1;distress_1;acceptability_2;confidence_2;distress_2;acceptability_3;confidence_3;distress_3;acceptability_4;confidence_4;distress_4;acceptability_5;confidence_5;distress_5;acceptability_6;confidence_6;distress_6;acceptability_7;confidence_7;distress_7;scenarios_order;condition;1_oxford_1;1_oxford_2;1_oxford_3;1_oxford_4;1_oxford_5;1_oxford_6;1_oxford_7;1_oxford_8;1_oxford_9;oxford_order;age;gender;country;covid;openness;conscientiousness;extraversion;agreeableness;neuroticism;timestamp
35;71;100;100;100;100;79;71;73;95;100;100;79;74;73;-999;-999;-999;9;82;93;421537;3;5;7;7;4;6;6;7;3;6;128694375;45;1;11;2;;;;;;06/05/2020 22:17
86;91;100;67;65;40;100;100;33;36;62;100;32;65;57;-999;-999;-999;36;20;100;413527;3;3;2;6;2;6;3;5;3;3;486351792;26;1;236;-999;24;35;18;27;23;06/05/2020 22:19
5;39;96;3;100;2;100;0;94;99;3;98;1;98;55;100;62;100;-999;-999;-999;342516;4;1;4;1;1;1;1;1;1;7;237185496;60;2;11;-999;42;23;23;26;34;06/05/2020 22:19
0;73;67;24;75;58;63;42;81;77;70;100;0;100;22;-999;-999;-999;13;67;100;254317;3;1;3;3;2;3;3;5;1;3;936578214;39;1;11;-999;29;40;18;34;34;06/05/2020 22:19
15;85;100;30;79;44;26;81;92;77;72;96;84;84;28;83;69;100;-999;-999;-999;235146;4;5;6;7;7;4;1;5;3;1;315798642;28;2;11;-999;38;31;20;28;31;06/05/2020 22:19
0;100;70;8;73;66;64;57;100;2;100;100;21;28;63;-999;-999;-999;3;100;100;734152;1;5;5;7;1;7;1;6;2;2;981647523;67;1;11;-999;47;36;29;40;18;06/05/2020 22:22
73;20;90;75;26;51;15;77;34;68;41;67;86;84;51;-999;-999;-999;51;100;100;752143;1;4;5;3;1;2;1;5;5;1;916254378;29;2;11;3;;;;;;06/05/2020 22:23
49;15;100;23;77;6;0;100;0;78;79;58;6;89;5;84;24;100;-999;-999;-999;654132;2;7;1;5;1;6;1;3;1;1;315946872;46;2;11;-999;37;26;35;44;22;06/05/2020 22:24
77;69;83;32;61;30;42;46;62;79;69;83;44;33;43;-999;-999;-999;40;31;79;714253;1;3;3;5;2;5;4;5;4;5;726953481;36;2;11;3;41;35;23;24;22;06/05/2020 22:26
27;43;23;26;41;20;87;70;21;81;75;73;46;35;23;-999;-999;-999;99;100;69;142357;3;6;6;6;6;7;5;6;6;7;321769458;25;2;11;-999;47;27;39;40;8;06/05/2020 22:28
100;99;100;0;100;100;98;100;100;100;0;100;3;100;1;-999;-999;-999;2;99;100;314257;3;3;7;3;7;7;3;4;3;7;394267185;48;1;11;-999;16;37;24;37;28;06/05/2020 22:30
